"speech","word","n","total","tf","idf","tf_idf"
"Selma","be",20,3690,0.00542005420054201,0,0
"Selma","that's",20,3690,0.00542005420054201,0,0
"SOTU_15","has",20,6828,0.00292911540714704,0,0
"SOTU_15","like",20,6828,0.00292911540714704,0,0
"SOTU_15","work",20,6828,0.00292911540714704,0,0
"Selma","but",19,3690,0.00514905149051491,0,0
"SOTU_15","all",19,6828,0.00278265963678969,0,0
"SOTU_15","american",19,6828,0.00278265963678969,0,0
"SOTU_15","americans",19,6828,0.00278265963678969,0,0
"SOTU_15","country",19,6828,0.00278265963678969,0,0
"SOTU_15","one",19,6828,0.00278265963678969,0,0
"SOTU_15","what",19,6828,0.00278265963678969,0,0
"SOTU_15","world",19,6828,0.00278265963678969,0,0
"Selma","as",18,3690,0.0048780487804878,0,0
"Selma","can",18,3690,0.0048780487804878,0,0
"Selma","on",18,3690,0.0048780487804878,0,0
"SOTU_15","economy",18,6828,0.00263620386643234,0,0
"SOTU_15","jobs",18,6828,0.00263620386643234,0.693147180559945,0.0018272772773988
"SOTU_15","where",18,6828,0.00263620386643234,0,0
"Selma","us",17,3690,0.00460704607046071,0,0
"Selma","was",17,3690,0.00460704607046071,0,0
"SOTU_15","if",17,6828,0.00248974809607499,0,0
"SOTU_15","let's",17,6828,0.00248974809607499,0.693147180559945,0.00172576187309887
"SOTU_15","my",17,6828,0.00248974809607499,0,0
"SOTU_15","now",17,6828,0.00248974809607499,0,0
"SOTU_15","we're",17,6828,0.00248974809607499,0,0
"SOTU_15","when",17,6828,0.00248974809607499,0,0
"Selma","people",16,3690,0.0043360433604336,0,0
"Selma","so",16,3690,0.0043360433604336,0,0
"SOTU_15","families",16,6828,0.00234329232571763,0.693147180559945,0.00162424646879893
"SOTU_15","first",16,6828,0.00234329232571763,0,0
"SOTU_15","know",16,6828,0.00234329232571763,0,0
"SOTU_15","why",16,6828,0.00234329232571763,0,0
"SOTU_15","year",16,6828,0.00234329232571763,0,0
"Selma","all",15,3690,0.0040650406504065,0,0
"Selma","just",15,3690,0.0040650406504065,0,0
"Selma","with",15,3690,0.0040650406504065,0,0
"SOTU_15","by",15,6828,0.00219683655536028,0,0
"SOTU_15","some",15,6828,0.00219683655536028,0,0
"SOTU_15","still",15,6828,0.00219683655536028,0,0
"Selma","by",14,3690,0.0037940379403794,0,0
"Selma","or",14,3690,0.0037940379403794,0,0
"SOTU_15","hard",14,6828,0.00205038078500293,0,0
"SOTU_15","right",14,6828,0.00205038078500293,0,0
"Selma","here",13,3690,0.0035230352303523,0,0
"Selma","one",13,3690,0.0035230352303523,0,0
"Selma","selma",13,3690,0.0035230352303523,0,0
"Selma","those",13,3690,0.0035230352303523,0,0
"Selma","young",13,3690,0.0035230352303523,0,0
"SOTU_15","back",13,6828,0.00190392501464558,0,0
"SOTU_15","century",13,6828,0.00190392501464558,0,0
"SOTU_15","congress",13,6828,0.00190392501464558,0,0
"SOTU_15","how",13,6828,0.00190392501464558,0,0
"SOTU_15","into",13,6828,0.00190392501464558,0,0
"SOTU_15","sure",13,6828,0.00190392501464558,0,0
"SOTU_15","tonight",13,6828,0.00190392501464558,0.693147180559945,0.00131970025589913
"SOTU_15","we've",13,6828,0.00190392501464558,0,0
"Selma","americans",12,3690,0.0032520325203252,0,0
"Selma","because",12,3690,0.0032520325203252,0,0
"Selma","if",12,3690,0.0032520325203252,0,0
"Selma","we're",12,3690,0.0032520325203252,0,0
"SOTU_15","better",12,6828,0.00175746924428822,0,0
"SOTU_15","keep",12,6828,0.00175746924428822,0,0
"SOTU_15","many",12,6828,0.00175746924428822,0,0
"SOTU_15","over",12,6828,0.00175746924428822,0,0
"SOTU_15","them",12,6828,0.00175746924428822,0,0
"Selma","more",11,3690,0.0029810298102981,0,0
"Selma","years",11,3690,0.0029810298102981,0,0
"SOTU_15","because",11,6828,0.00161101347393087,0,0
"SOTU_15","college",11,6828,0.00161101347393087,0.693147180559945,0.00111666944729927
"SOTU_15","get",11,6828,0.00161101347393087,0.693147180559945,0.00111666944729927
"SOTU_15","here",11,6828,0.00161101347393087,0,0
"SOTU_15","home",11,6828,0.00161101347393087,0,0
"SOTU_15","no",11,6828,0.00161101347393087,0,0
"SOTU_15","past",11,6828,0.00161101347393087,0,0
"SOTU_15","today",11,6828,0.00161101347393087,0,0
"SOTU_15","too",11,6828,0.00161101347393087,0,0
"SOTU_15","workers",11,6828,0.00161101347393087,0,0
"Selma","know",10,3690,0.002710027100271,0,0
"Selma","men",10,3690,0.002710027100271,0,0
"Selma","much",10,3690,0.002710027100271,0,0
"Selma","when",10,3690,0.002710027100271,0,0
"Selma","will",10,3690,0.002710027100271,0,0
"Selma","women",10,3690,0.002710027100271,0,0
"SOTU_15","businesses",10,6828,0.00146455770357352,0.693147180559945,0.00101515404299933
"SOTU_15","ever",10,6828,0.00146455770357352,0.693147180559945,0.00101515404299933
"SOTU_15","higher",10,6828,0.00146455770357352,0.693147180559945,0.00101515404299933
"SOTU_15","job",10,6828,0.00146455770357352,0,0
"SOTU_15","out",10,6828,0.00146455770357352,0,0
"SOTU_15","these",10,6828,0.00146455770357352,0,0
"SOTU_15","those",10,6828,0.00146455770357352,0,0
"SOTU_15","was",10,6828,0.00146455770357352,0,0
"SOTU_15","working",10,6828,0.00146455770357352,0.693147180559945,0.00101515404299933
"SOTU_15","your",10,6828,0.00146455770357352,0,0
"Selma","american",9,3690,0.0024390243902439,0,0
"Selma","an",9,3690,0.0024390243902439,0,0
"Selma","could",9,3690,0.0024390243902439,0,0
"Selma","from",9,3690,0.0024390243902439,0,0
"Selma","how",9,3690,0.0024390243902439,0,0
"Selma","rights",9,3690,0.0024390243902439,0,0
"Selma","than",9,3690,0.0024390243902439,0,0
"Selma","you",9,3690,0.0024390243902439,0,0
"SOTU_15","could",9,6828,0.00131810193321617,0,0
"SOTU_15","don't",9,6828,0.00131810193321617,0,0
"SOTU_15","done",9,6828,0.00131810193321617,0,0
"SOTU_15","future",9,6828,0.00131810193321617,0,0
"SOTU_15","good",9,6828,0.00131810193321617,0,0
"SOTU_15","high",9,6828,0.00131810193321617,0,0
"SOTU_15","i've",9,6828,0.00131810193321617,0.693147180559945,0.000913638638699401
"SOTU_15","its",9,6828,0.00131810193321617,0,0
"SOTU_15","long",9,6828,0.00131810193321617,0,0
"SOTU_15","made",9,6828,0.00131810193321617,0,0
"SOTU_15","making",9,6828,0.00131810193321617,0.693147180559945,0.000913638638699401
"SOTU_15","me",9,6828,0.00131810193321617,0.693147180559945,0.000913638638699401
"SOTU_15","middle",9,6828,0.00131810193321617,0,0
"SOTU_15","other",9,6828,0.00131810193321617,0.693147180559945,0.000913638638699401
"SOTU_15","ourselves",9,6828,0.00131810193321617,0,0
"SOTU_15","paid",9,6828,0.00131810193321617,0.693147180559945,0.000913638638699401
"SOTU_15","protect",9,6828,0.00131810193321617,0,0
"SOTU_15","states",9,6828,0.00131810193321617,0,0
"SOTU_15","strong",9,6828,0.00131810193321617,0,0
"SOTU_15","use",9,6828,0.00131810193321617,0.693147180559945,0.000913638638699401
"Selma","country",8,3690,0.0021680216802168,0,0
"Selma","have",8,3690,0.0021680216802168,0,0
"Selma","make",8,3690,0.0021680216802168,0,0
"Selma","many",8,3690,0.0021680216802168,0,0
"Selma","no",8,3690,0.0021680216802168,0,0
"Selma","were",8,3690,0.0021680216802168,0,0
"SOTU_15","an",8,6828,0.00117164616285882,0,0
"SOTU_15","be",8,6828,0.00117164616285882,0,0
"SOTU_15","childcare",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","doesn't",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","down",8,6828,0.00117164616285882,0,0
"SOTU_15","everyone",8,6828,0.00117164616285882,0,0
"SOTU_15","fair",8,6828,0.00117164616285882,0,0
"SOTU_15","help",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","instead",8,6828,0.00117164616285882,0,0
"SOTU_15","just",8,6828,0.00117164616285882,0,0
"SOTU_15","laughter",8,6828,0.00117164616285882,0,0
"SOTU_15","leave",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","only",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","pay",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","politics",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","power",8,6828,0.00117164616285882,0,0
"SOTU_15","should",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","since",8,6828,0.00117164616285882,0.693147180559945,0.000812123234399467
"SOTU_15","thing",8,6828,0.00117164616285882,0,0
"SOTU_15","together",8,6828,0.00117164616285882,0,0
"SOTU_15","were",8,6828,0.00117164616285882,0,0
"SOTU_15","young",8,6828,0.00117164616285882,0,0
"Selma","bridge",7,3690,0.0018970189701897,0,0
"Selma","change",7,3690,0.0018970189701897,0,0
"Selma","do",7,3690,0.0018970189701897,0,0
"Selma","history",7,3690,0.0018970189701897,0,0
"Selma","honor",7,3690,0.0018970189701897,0.693147180559945,0.00131491335065572
"Selma","idea",7,3690,0.0018970189701897,0,0
"Selma","it's",7,3690,0.0018970189701897,0,0
"Selma","john",7,3690,0.0018970189701897,0.693147180559945,0.00131491335065572
"Selma","lewis",7,3690,0.0018970189701897,0.693147180559945,0.00131491335065572
"Selma","like",7,3690,0.0018970189701897,0,0
"Selma","marched",7,3690,0.0018970189701897,0.693147180559945,0.00131491335065572
"Selma","need",7,3690,0.0018970189701897,0,0
"Selma","right",7,3690,0.0018970189701897,0,0
"Selma","these",7,3690,0.0018970189701897,0,0
"Selma","through",7,3690,0.0018970189701897,0,0
"Selma","up",7,3690,0.0018970189701897,0,0
"Selma","work",7,3690,0.0018970189701897,0,0
"Selma","would",7,3690,0.0018970189701897,0,0
"SOTU_15","about",7,6828,0.00102519039250146,0,0
"SOTU_15","agree",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","believe",7,6828,0.00102519039250146,0,0
"SOTU_15","class",7,6828,0.00102519039250146,0,0
"SOTU_15","community",7,6828,0.00102519039250146,0,0
"SOTU_15","democrats",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","effort",7,6828,0.00102519039250146,0,0
"SOTU_15","family",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","free",7,6828,0.00102519039250146,0,0
"SOTU_15","give",7,6828,0.00102519039250146,0,0
"SOTU_15","great",7,6828,0.00102519039250146,0,0
"SOTU_15","health",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","kids",7,6828,0.00102519039250146,0,0
"SOTU_15","last",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","nation",7,6828,0.00102519039250146,0,0
"SOTU_15","rebekah",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","republicans",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","set",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","share",7,6828,0.00102519039250146,0.693147180559945,0.000710607830099534
"SOTU_15","small",7,6828,0.00102519039250146,0,0
"SOTU_15","united",7,6828,0.00102519039250146,0,0
"SOTU_15","while",7,6828,0.00102519039250146,0,0
"Selma","50",6,3690,0.0016260162601626,0,0
"Selma","at",6,3690,0.0016260162601626,0,0
"Selma","changed",6,3690,0.0016260162601626,0.693147180559945,0.00112706858627633
"Selma","faith",6,3690,0.0016260162601626,0,0
"Selma","his",6,3690,0.0016260162601626,0,0
"Selma","i",6,3690,0.0016260162601626,0,0
"Selma","its",6,3690,0.0016260162601626,0,0
"Selma","nation",6,3690,0.0016260162601626,0,0
"Selma","now",6,3690,0.0016260162601626,0,0
"Selma","own",6,3690,0.0016260162601626,0,0
"Selma","power",6,3690,0.0016260162601626,0,0
"Selma","same",6,3690,0.0016260162601626,0,0
"Selma","some",6,3690,0.0016260162601626,0,0
"Selma","them",6,3690,0.0016260162601626,0,0
"Selma","then",6,3690,0.0016260162601626,0,0
"Selma","today",6,3690,0.0016260162601626,0,0
"Selma","voting",6,3690,0.0016260162601626,0,0
"Selma","yet",6,3690,0.0016260162601626,0,0
"SOTU_15","act",6,6828,0.000878734622144112,0,0
"SOTU_15","ahead",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","allies",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","before",6,6828,0.000878734622144112,0,0
"SOTU_15","best",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","change",6,6828,0.000878734622144112,0,0
"SOTU_15","diplomacy",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","each",6,6828,0.000878734622144112,0,0
"SOTU_15","go",6,6828,0.000878734622144112,0,0
"SOTU_15","had",6,6828,0.000878734622144112,0,0
"SOTU_15","his",6,6828,0.000878734622144112,0,0
"SOTU_15","i'm",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","lead",6,6828,0.000878734622144112,0,0
"SOTU_15","leadership",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","let",6,6828,0.000878734622144112,0,0
"SOTU_15","own",6,6828,0.000878734622144112,0,0
"SOTU_15","rate",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","rules",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","security",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","she",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","sick",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","surely",6,6828,0.000878734622144112,0,0
"SOTU_15","there",6,6828,0.000878734622144112,0,0
"SOTU_15","things",6,6828,0.000878734622144112,0,0
"SOTU_15","two",6,6828,0.000878734622144112,0,0
"SOTU_15","values",6,6828,0.000878734622144112,0.693147180559945,0.0006090924257996
"SOTU_15","very",6,6828,0.000878734622144112,0,0
"Selma","across",5,3690,0.0013550135501355,0,0
"Selma","ago",5,3690,0.0013550135501355,0,0
"Selma","back",5,3690,0.0013550135501355,0,0
"Selma","day",5,3690,0.0013550135501355,0,0
"Selma","did",5,3690,0.0013550135501355,0,0
"Selma","down",5,3690,0.0013550135501355,0,0
"Selma","every",5,3690,0.0013550135501355,0,0
"Selma","ferguson",5,3690,0.0013550135501355,0,0
"Selma","has",5,3690,0.0013550135501355,0,0
"Selma","hope",5,3690,0.0013550135501355,0,0
"Selma","instinct",5,3690,0.0013550135501355,0.693147180559945,0.000939223821896945
"Selma","justice",5,3690,0.0013550135501355,0,0
"Selma","law",5,3690,0.0013550135501355,0,0
"Selma","led",5,3690,0.0013550135501355,0.693147180559945,0.000939223821896945
"Selma","long",5,3690,0.0013550135501355,0,0
"Selma","new",5,3690,0.0013550135501355,0,0
"Selma","office",5,3690,0.0013550135501355,0,0
"Selma","old",5,3690,0.0013550135501355,0,0
"Selma","past",5,3690,0.0013550135501355,0,0
"Selma","president",5,3690,0.0013550135501355,0,0
"Selma","self",5,3690,0.0013550135501355,0.693147180559945,0.000939223821896945
"Selma","take",5,3690,0.0013550135501355,0,0
"Selma","there",5,3690,0.0013550135501355,0,0
"Selma","why",5,3690,0.0013550135501355,0,0
"SOTU_15","15",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","6",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","against",5,6828,0.00073227885178676,0,0
"SOTU_15","ago",5,6828,0.00073227885178676,0,0
"SOTU_15","also",5,6828,0.00073227885178676,0,0
"SOTU_15","another",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","any",5,6828,0.00073227885178676,0,0
"SOTU_15","asking",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","been",5,6828,0.00073227885178676,0,0
"SOTU_15","believed",5,6828,0.00073227885178676,0,0
"SOTU_15","both",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","can't",5,6828,0.00073227885178676,0,0
"SOTU_15","care",5,6828,0.00073227885178676,0,0
"SOTU_15","combat",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","come",5,6828,0.00073227885178676,0,0
"SOTU_15","continue",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","crisis",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","does",5,6828,0.00073227885178676,0,0
"SOTU_15","doing",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","economics",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","even",5,6828,0.00073227885178676,0,0
"SOTU_15","example",5,6828,0.00073227885178676,0,0
"SOTU_15","fastest",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","finally",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","folks",5,6828,0.00073227885178676,0,0
"SOTU_15","generation",5,6828,0.00073227885178676,0,0
"SOTU_15","got",5,6828,0.00073227885178676,0,0
"SOTU_15","government",5,6828,0.00073227885178676,0,0
"SOTU_15","growing",5,6828,0.00073227885178676,0,0
"SOTU_15","ideas",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","infrastructure",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","looking",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","military",5,6828,0.00073227885178676,0,0
"SOTU_15","million",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","millions",5,6828,0.00073227885178676,0,0
"SOTU_15","nations",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","next",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","nuclear",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","off",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","opportunities",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","opportunity",5,6828,0.00073227885178676,0,0
"SOTU_15","paying",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","plan",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","put",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","same",5,6828,0.00073227885178676,0,0
"SOTU_15","school",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","seen",5,6828,0.00073227885178676,0,0
"SOTU_15","send",5,6828,0.00073227885178676,0,0
"SOTU_15","something",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","stronger",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","student",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","system",5,6828,0.00073227885178676,0,0
"SOTU_15","terrorists",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","thank",5,6828,0.00073227885178676,0,0
"SOTU_15","through",5,6828,0.00073227885178676,0,0
"SOTU_15","times",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","trade",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","worked",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"SOTU_15","write",5,6828,0.00073227885178676,0.693147180559945,0.000507577021499667
"Selma","act",4,3690,0.0010840108401084,0,0
"Selma","ask",4,3690,0.0010840108401084,0,0
"Selma","away",4,3690,0.0010840108401084,0,0
"Selma","been",4,3690,0.0010840108401084,0,0
"Selma","believe",4,3690,0.0010840108401084,0,0
"Selma","blood",4,3690,0.0010840108401084,0.693147180559945,0.000751379057517556
"Selma","came",4,3690,0.0010840108401084,0,0
"Selma","citizens",4,3690,0.0010840108401084,0,0
"Selma","democracy",4,3690,0.0010840108401084,0,0
"Selma","don't",4,3690,0.0010840108401084,0,0
"Selma","doors",4,3690,0.0010840108401084,0.693147180559945,0.000751379057517556
"Selma","effort",4,3690,0.0010840108401084,0,0
"Selma","free",4,3690,0.0010840108401084,0,0
"Selma","generation",4,3690,0.0010840108401084,0,0
"Selma","god",4,3690,0.0010840108401084,0,0
"Selma","government",4,3690,0.0010840108401084,0,0
"Selma","had",4,3690,0.0010840108401084,0,0
"Selma","he",4,3690,0.0010840108401084,0,0
"Selma","march",4,3690,0.0010840108401084,0,0
"Selma","matter",4,3690,0.0010840108401084,0.693147180559945,0.000751379057517556
"Selma","may",4,3690,0.0010840108401084,0,0
"Selma","movement",4,3690,0.0010840108401084,0.693147180559945,0.000751379057517556
"Selma","opportunity",4,3690,0.0010840108401084,0,0
"Selma","progress",4,3690,0.0010840108401084,0,0
"Selma","protect",4,3690,0.0010840108401084,0,0
"Selma","requires",4,3690,0.0010840108401084,0.693147180559945,0.000751379057517556
"Selma","run",4,3690,0.0010840108401084,0,0
"Selma","somebody",4,3690,0.0010840108401084,0,0
"Selma","such",4,3690,0.0010840108401084,0,0
"Selma","thing",4,3690,0.0010840108401084,0,0
"Selma","together",4,3690,0.0010840108401084,0,0
"Selma","too",4,3690,0.0010840108401084,0,0
"Selma","true",4,3690,0.0010840108401084,0,0
"Selma","truth",4,3690,0.0010840108401084,0,0
"Selma","want",4,3690,0.0010840108401084,0,0
"Selma","well",4,3690,0.0010840108401084,0,0
"Selma","where",4,3690,0.0010840108401084,0,0
"Selma","white",4,3690,0.0010840108401084,0,0
"Selma","willing",4,3690,0.0010840108401084,0.693147180559945,0.000751379057517556
"Selma","your",4,3690,0.0010840108401084,0,0
"SOTU_15","2",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","again",4,6828,0.000585823081429408,0,0
"SOTU_15","always",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","applause",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","around",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","bipartisan",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","bring",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","building",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","chance",4,6828,0.000585823081429408,0,0
"SOTU_15","child",4,6828,0.000585823081429408,0,0
"SOTU_15","climate",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","close",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","companies",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","cuba",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","cut",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","decade",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","earned",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","economic",4,6828,0.000585823081429408,0,0
"SOTU_15","forces",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","gave",4,6828,0.000585823081429408,0,0
"SOTU_15","he",4,6828,0.000585823081429408,0,0
"SOTU_15","highest",4,6828,0.000585823081429408,0,0
"SOTU_15","including",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","iran",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","issue",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","issues",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","knit",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","live",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","lives",4,6828,0.000585823081429408,0,0
"SOTU_15","lower",4,6828,0.000585823081429408,0.693147180559945,0.000406061617199734
"SOTU_15","makes",4,6828,0.000585823081429408,0,0
